Year,Region,CRM Adoption Rate (%),AI Market CAGR (%),TAM (USD Million),SAM (USD Million),SOM (USD Million),SaaS Revenue (USD Million),Custom Modules Revenue (USD Million),Data Insights Revenue (USD Million),Total Revenue (USD Million),Development Cost (USD Million),Maintenance Cost (USD Million),Marketing Cost (USD Million),Total Cost (USD Million),Profit Margin (%),Lead Conversion Rate (%),Customer Satisfaction Rate (%),Average Revenue Per Customer (USD),Customer Churn Rate (%)
2026,North America,44.67,25.13,18921,1592,705,2.82,1.63,1.68,6.13,2.77,0.38,0.73,3.88,36.7,29.21,84.45,2010.29,9.22
2024,South America,33.95,31.97,14056,1363,542,3.43,2.71,1.35,7.49,1.7,0.43,0.24,2.37,68.36,13.5,71.85,2982.69,4.97
2025,North America,41.47,31.24,17786,4949,1185,2.49,0.64,0.19,3.32,2.06,0.33,0.57,2.96,10.84,5.54,84.02,2546.11,9.03
2024,Middle East,31.31,23.47,19513,3686,1792,3.98,0.71,1.85,6.54,1.94,0.44,0.67,3.05,53.36,25.51,88.55,4514.99,2.57
2027,Asia-Pacific,13.36,16.11,9891,4462,1640,3.56,0.59,1.9,6.05,2.26,0.43,0.36,3.05,49.59,14.22,81.89,4740.78,2.23
2025,Asia-Pacific,47.35,26.21,15852,3589,1346,4.41,0.92,1.99,7.32,1.87,0.51,0.61,2.99,59.15,5.06,74.75,2630.99,6.69
2025,South America,19.06,31.86,8962,2843,561,3.68,1.67,1.42,6.77,2.7,0.6,0.25,3.55,47.56,24.02,94.07,418.88,5.55
2024,Europe,41.38,15.97,15586,1988,1308,2.52,0.3,1.21,4.03,0.58,0.89,0.57,2.04,49.38,5.88,71.28,2586.27,4.09
2027,Middle East,43.83,32.09,14171,3289,504,2.89,1.28,0.24,4.41,2.52,0.74,0.43,3.69,16.33,18.9,90.15,2418.3,7.82
2028,Asia-Pacific,47.34,33.11,9128,2968,818,1.89,0.6,0.71,3.2,1.13,0.2,0.77,2.1,34.38,22.25,90.75,2047.41,5.01
2027,Europe,28.65,29.67,10648,4351,1701,1.72,1.61,1.07,4.4,2.56,0.46,0.16,3.18,27.73,23.24,84.24,3667.36,2.83
2028,Asia-Pacific,11.87,23.96,9871,3656,1818,4.46,1.99,0.64,7.09,2.6,0.73,0.23,3.56,49.79,25.23,86.11,1980.54,9.15
2024,Asia-Pacific,24.48,17.52,15043,2087,1872,0.87,1.62,1.36,3.85,2.14,0.29,0.73,3.16,17.92,20.25,89.44,4350.09,2.3
2025,North America,10.01,29.56,13277,1941,1448,1.7,2.07,1.05,4.82,1.88,0.37,0.15,2.4,50.21,27.98,72.14,4056.52,5.52
2026,North America,48.82,33.47,16849,1382,890,0.87,1.81,0.98,3.66,1.38,0.61,0.12,2.11,42.35,18.05,75.61,1314.58,7.98
2026,South America,37.81,21.8,10441,1022,1623,2.54,0.44,1.23,4.21,1.04,0.9,0.69,2.63,37.53,13.57,73.43,963.08,4.02
2024,Asia-Pacific,45.4,24.03,19714,4187,1171,4.11,0.44,1.71,6.26,2.84,0.26,0.41,3.51,43.93,9.3,91.25,3226.01,3.78
2028,South America,16.13,30.68,8972,3002,1570,1.31,0.48,1.28,3.07,0.91,0.28,0.56,1.75,43.0,23.26,82.94,2608.95,2.23
2027,Middle East,47.32,27.16,7119,3394,1888,3.54,2.27,1.2,7.01,1.48,0.24,0.52,2.24,68.05,17.18,91.54,4572.49,8.68
2028,North America,19.57,28.33,7705,2074,1023,1.44,0.67,0.64,2.75,1.65,0.26,0.38,2.29,16.73,21.86,88.46,4520.29,8.27
2028,North America,45.29,19.42,19196,4516,548,3.74,1.22,0.48,5.44,0.9,0.65,0.76,2.31,57.54,29.2,78.72,1823.58,7.63
2025,Asia-Pacific,35.2,31.46,10131,4029,1478,1.83,2.03,0.31,4.17,2.84,0.81,0.67,4.32,-3.6,23.73,83.66,4819.01,8.44
2027,Europe,43.96,18.5,5805,2183,1162,0.99,1.99,1.88,4.86,1.95,0.85,0.28,3.08,36.63,7.08,70.01,2034.2,5.32
2027,Asia-Pacific,13.3,33.0,5336,3896,675,2.02,0.85,0.35,3.22,0.71,0.44,0.73,1.88,41.61,28.0,85.08,3247.23,7.56
2026,Middle East,44.57,32.11,6037,2306,837,3.65,0.25,1.74,5.64,1.89,0.83,0.58,3.3,41.49,12.22,79.42,2401.67,5.6
2026,North America,41.78,19.9,18481,3793,1777,3.55,0.86,1.92,6.33,1.8,0.95,0.46,3.21,49.29,28.91,87.78,3332.02,9.87
2028,Europe,21.87,34.37,16684,4577,1480,2.03,2.09,0.5,4.62,0.8,0.82,0.79,2.41,47.84,6.97,81.35,4530.07,5.51
2028,Middle East,49.43,29.67,11442,1300,576,1.46,2.93,0.98,5.37,1.44,0.36,0.28,2.08,61.27,15.15,89.42,2208.1,2.36
2027,Middle East,20.27,25.43,19317,1343,1993,1.83,2.14,0.11,4.08,2.63,0.87,0.17,3.67,10.05,12.39,81.09,4338.28,5.84
2027,North America,15.75,29.52,13961,1302,1076,2.56,0.9,0.81,4.27,2.36,0.93,0.2,3.49,18.27,23.71,92.78,3379.13,3.76
2025,North America,28.78,17.1,13668,1940,982,4.1,2.72,0.19,7.01,0.55,0.84,0.39,1.78,74.61,16.57,84.1,1045.77,6.39
2026,Asia-Pacific,30.41,31.49,9137,4827,1856,4.14,2.74,1.09,7.97,1.62,0.21,0.27,2.1,73.65,9.53,81.96,2092.43,9.33
2025,Europe,15.41,34.18,8168,2521,992,0.76,2.11,1.99,4.86,2.31,0.51,0.45,3.27,32.72,18.32,81.43,1988.69,8.03
2026,Middle East,40.63,25.6,17969,3195,1551,3.11,0.78,0.87,4.76,1.66,0.6,0.33,2.59,45.59,12.02,73.52,3272.89,9.68
2025,Middle East,32.4,28.82,11447,3563,959,1.46,0.79,0.66,2.91,1.05,0.37,0.8,2.22,23.71,15.53,83.46,4428.14,7.0
2028,Middle East,26.2,21.02,9450,4410,1489,4.86,2.12,1.6,8.58,2.85,0.55,0.4,3.8,55.71,10.79,91.34,4089.23,8.2
2028,Middle East,21.0,25.4,6549,4858,810,3.4,2.01,1.53,6.94,1.07,0.28,0.5,1.85,73.34,18.23,84.48,3151.43,7.21
2027,Asia-Pacific,33.63,19.77,6674,1562,1495,4.58,2.43,1.31,8.32,1.84,0.56,0.3,2.7,67.55,17.83,93.49,157.96,9.54
2027,North America,45.35,32.23,11116,2829,1163,2.24,0.92,1.36,4.52,1.17,0.71,0.52,2.4,46.9,17.82,85.06,3281.03,8.51
2025,South America,39.68,30.74,16454,1546,651,2.86,1.6,1.96,6.42,2.74,0.8,0.51,4.05,36.92,28.6,79.07,1212.68,2.8
2026,Middle East,32.54,23.78,12474,4311,1199,4.22,0.68,0.14,5.04,0.91,0.38,0.71,2.0,60.32,10.87,82.69,527.62,6.27
2028,South America,12.73,20.31,6805,2586,1127,4.79,1.36,1.98,8.13,1.62,0.91,0.18,2.71,66.67,17.23,75.35,1432.8,2.27
2028,South America,38.13,18.97,12059,3705,1818,1.38,0.76,0.76,2.9,1.04,0.56,0.43,2.03,30.0,9.28,86.37,3497.86,2.12
2027,North America,39.68,26.39,11484,2190,1849,1.33,0.23,0.6,2.16,1.16,0.24,0.59,1.99,7.87,20.51,86.11,3691.54,4.94
2028,Middle East,23.58,30.96,7969,2562,1028,4.2,2.67,1.63,8.5,2.97,0.29,0.48,3.74,56.0,9.16,70.94,1261.33,6.56
2025,Europe,26.47,28.42,12603,2047,1780,1.87,2.91,1.84,6.62,2.4,0.54,0.7,3.64,45.02,24.48,89.58,3278.02,4.51
2026,Asia-Pacific,20.36,24.25,12945,3573,1502,3.97,1.9,1.48,7.35,2.84,0.32,0.14,3.3,55.1,11.23,72.21,2297.49,9.57
2027,Middle East,30.95,31.88,10492,4359,1425,1.62,1.83,0.84,4.29,1.51,0.99,0.35,2.85,33.57,9.53,83.01,2166.02,9.98
2026,Middle East,44.13,24.29,13320,2818,845,4.02,1.65,0.97,6.64,1.91,0.39,0.25,2.55,61.6,15.26,83.11,1319.56,6.94
2028,Middle East,20.85,20.98,16585,4243,845,1.23,1.75,1.21,4.19,2.3,0.44,0.18,2.92,30.31,7.69,82.66,3724.76,8.65
2027,North America,13.33,23.7,11820,1726,1784,1.92,0.8,1.78,4.5,0.83,0.65,0.7,2.18,51.56,9.17,90.21,504.03,6.55
2028,South America,10.77,32.96,9820,3024,1965,4.78,1.77,0.13,6.68,1.83,0.37,0.18,2.38,64.37,5.13,88.59,4429.73,3.49
2025,North America,42.79,26.87,6386,2171,1086,4.76,0.56,1.4,6.72,1.68,0.67,0.56,2.91,56.7,6.88,86.69,1482.89,3.05
2025,Europe,15.02,26.14,6276,3420,1836,4.96,0.51,1.17,6.64,2.05,0.8,0.27,3.12,53.01,27.67,71.35,4924.78,5.13
2025,Middle East,38.32,17.73,9775,4308,1598,2.99,2.35,0.6,5.94,1.05,0.45,0.59,2.09,64.81,10.74,83.61,628.4,3.31
2027,Europe,31.27,22.18,12479,4484,793,4.88,2.6,0.24,7.72,0.87,0.92,0.4,2.19,71.63,29.1,79.02,3278.3,2.54
2025,South America,11.18,23.95,18618,3220,1464,2.91,0.38,0.75,4.04,2.74,0.52,0.45,3.71,8.17,22.08,79.08,3953.27,4.9
2025,Middle East,10.12,23.26,13826,3742,1322,3.21,2.27,1.32,6.8,1.28,0.78,0.63,2.69,60.44,23.62,71.62,4617.83,8.46
2027,South America,44.72,27.47,10195,4392,1453,3.52,1.86,1.32,6.7,2.9,0.3,0.4,3.6,46.27,15.38,74.22,1807.0,8.59
2028,Europe,21.8,27.81,5170,1315,533,2.03,2.28,0.78,5.09,2.64,0.91,0.46,4.01,21.22,19.8,75.58,346.25,7.69
2026,South America,28.12,34.28,13503,2206,1973,3.29,1.28,0.22,4.79,1.83,0.26,0.26,2.35,50.94,6.69,84.79,3295.24,9.99
2024,Asia-Pacific,38.76,21.22,14347,2000,1469,1.93,0.55,0.67,3.15,1.87,0.7,0.77,3.34,-6.03,20.34,78.93,1983.01,3.19
2025,Middle East,15.32,34.92,19990,2908,767,4.28,0.39,0.32,4.99,0.91,0.83,0.46,2.2,55.91,8.04,75.94,659.42,3.31
2026,North America,19.91,23.8,16832,4358,1298,2.02,1.77,0.74,4.53,2.44,0.4,0.21,3.05,32.67,17.83,81.01,1769.85,3.02
2028,Middle East,41.36,26.57,16239,1298,844,4.83,1.42,0.78,7.03,1.48,0.83,0.62,2.93,58.32,11.14,78.57,3083.76,8.38
2026,Middle East,49.77,22.14,19286,3208,925,3.61,2.29,0.22,6.12,2.49,0.52,0.15,3.16,48.37,6.29,72.82,2466.75,7.54
2026,South America,49.01,31.01,15306,1403,1485,3.02,2.72,0.5,6.24,2.8,0.4,0.25,3.45,44.71,11.95,74.86,3344.82,2.44
2027,Europe,45.92,16.51,16760,2232,783,1.68,0.89,0.2,2.77,0.56,0.63,0.26,1.45,47.65,21.06,72.63,4839.03,9.1
2025,Middle East,33.84,17.32,17835,1918,881,2.8,1.09,1.46,5.35,2.91,0.38,0.78,4.07,23.93,22.81,76.91,2188.11,8.14
2028,Asia-Pacific,22.46,15.92,10202,3151,1299,2.61,2.63,0.18,5.42,1.44,0.22,0.12,1.78,67.16,22.51,82.86,4450.08,5.82
2026,Europe,34.8,19.73,19427,4734,1221,3.47,1.15,1.82,6.44,1.27,0.22,0.32,1.81,71.89,29.63,85.03,543.15,7.93
2024,Middle East,49.61,20.8,19446,4105,1449,2.75,0.78,1.68,5.21,0.68,0.93,0.29,1.9,63.53,6.93,84.32,3853.3,6.65
2027,North America,26.07,19.47,19109,4024,1193,3.89,2.27,1.17,7.33,1.93,0.86,0.24,3.03,58.66,13.97,74.17,2876.27,7.75
2027,South America,29.53,20.21,7248,3532,1795,3.19,1.88,1.75,6.82,2.49,0.78,0.69,3.96,41.94,14.73,71.74,1215.69,3.9
2027,Europe,41.65,30.35,6046,4506,1166,2.82,0.22,1.96,5.0,0.71,0.5,0.49,1.7,66.0,23.67,86.69,1233.56,5.31
2025,Middle East,48.9,15.67,14543,3202,1370,3.09,1.07,1.28,5.44,2.25,0.43,0.11,2.79,48.71,17.6,72.0,765.03,5.77
2028,Asia-Pacific,11.57,16.39,6684,3423,1785,3.25,1.9,0.47,5.62,0.73,0.28,0.59,1.6,71.53,9.06,86.7,3131.82,9.4
2028,Asia-Pacific,45.23,33.06,15165,3064,1826,4.65,1.65,1.09,7.39,2.18,0.63,0.17,2.98,59.68,5.95,87.05,3922.54,2.53
2026,Middle East,49.06,19.77,19394,4692,541,2.26,0.8,1.66,4.72,2.67,0.25,0.15,3.07,34.96,27.0,75.34,2331.78,3.42
2026,Europe,20.54,22.59,11134,1159,759,4.36,2.42,0.18,6.96,1.31,0.75,0.13,2.19,68.53,5.8,76.67,4032.21,4.71
2026,South America,48.8,20.88,8243,1987,1815,4.37,1.84,1.7,7.91,2.43,0.35,0.18,2.96,62.58,9.23,85.63,4099.82,5.17
2025,Europe,48.53,24.67,7848,4334,1329,3.86,1.23,1.76,6.85,1.98,0.57,0.34,2.89,57.81,11.59,82.01,1453.88,6.27
2024,Asia-Pacific,45.37,21.77,17974,2938,1625,0.61,2.86,0.8,4.27,1.64,0.76,0.79,3.19,25.29,18.37,93.0,4331.11,9.24
2024,North America,26.44,25.73,11578,1588,1770,3.71,1.21,1.05,5.97,2.74,0.54,0.52,3.8,36.35,25.67,71.55,4993.08,7.97
2028,Middle East,27.9,32.08,16758,4597,664,1.01,2.82,1.96,5.79,1.81,0.24,0.13,2.18,62.35,18.73,82.92,1577.74,8.68
2025,North America,43.87,29.26,11246,3182,1309,4.02,0.82,1.16,6.0,0.98,0.95,0.29,2.22,63.0,25.66,94.57,4403.23,6.21
2028,Asia-Pacific,20.82,34.65,13110,2160,1787,2.37,1.95,1.06,5.38,2.89,0.46,0.45,3.8,29.37,14.95,94.47,3589.59,2.55
2027,South America,33.91,22.05,10725,2161,1878,1.95,1.59,1.08,4.62,1.15,0.53,0.2,1.88,59.31,14.11,73.24,3631.15,5.28
2026,Asia-Pacific,45.06,24.52,18329,3523,599,3.23,0.86,0.82,4.91,2.19,0.72,0.7,3.61,26.48,8.73,89.18,1727.01,2.43
2028,Middle East,30.91,25.74,12627,1851,1364,4.42,1.0,1.83,7.25,2.28,0.68,0.64,3.6,50.34,14.37,79.95,3415.9,8.45
2027,South America,25.88,33.03,12105,1458,708,1.09,2.93,1.31,5.33,2.87,0.22,0.2,3.29,38.27,17.92,86.61,4660.65,4.11
2026,Asia-Pacific,47.4,33.36,10907,2591,915,1.33,0.86,0.4,2.59,2.24,0.26,0.31,2.81,-8.49,27.92,88.58,1037.81,5.74
2025,Europe,14.54,29.19,6213,4397,818,2.78,2.1,1.78,6.66,2.71,0.42,0.34,3.47,47.9,10.55,88.1,1396.59,5.14
2027,Europe,20.73,34.79,16547,2136,1441,0.78,1.15,0.32,2.25,2.09,0.77,0.21,3.07,-36.44,27.86,71.69,1141.48,3.91
2028,North America,20.08,27.46,13125,1665,1363,2.88,0.33,1.38,4.59,0.81,0.2,0.76,1.77,61.44,8.3,81.26,4576.47,9.31
2024,Asia-Pacific,11.75,20.11,5952,2246,993,1.84,1.93,0.81,4.58,1.79,0.78,0.55,3.12,31.88,28.5,78.87,1006.63,9.4
2028,Europe,23.88,23.61,19109,2162,1271,3.82,2.72,1.57,8.11,2.66,0.54,0.54,3.74,53.88,29.18,94.19,3180.23,6.73
2028,Middle East,25.29,21.76,6681,2138,1788,0.64,0.67,1.18,2.49,1.83,0.9,0.18,2.91,-16.87,18.56,87.0,3600.51,7.18
2025,South America,36.62,29.76,10798,4272,899,1.77,0.24,1.72,3.73,0.82,0.99,0.33,2.14,42.63,18.77,71.36,4620.38,9.74
2027,Middle East,31.16,15.84,5237,2567,1624,1.41,1.87,1.74,5.02,0.77,0.35,0.79,1.91,61.95,8.64,85.06,2725.6,2.58
2025,Europe,14.84,21.51,6116,1555,1062,3.66,0.79,1.5,5.95,2.87,0.77,0.35,3.99,32.94,21.2,82.35,3235.0,3.37
2027,North America,49.71,18.62,8754,1317,1334,0.74,1.76,0.47,2.97,1.01,0.23,0.62,1.86,37.37,27.87,72.07,2685.79,7.34
2024,Middle East,40.05,34.17,9054,3215,650,2.84,2.43,1.75,7.02,2.79,0.41,0.36,3.56,49.29,28.52,82.35,296.19,7.77
2025,North America,21.48,17.71,19427,4467,1966,4.42,0.65,1.99,7.06,2.75,0.99,0.72,4.46,36.83,21.6,80.67,1418.24,2.87
2025,South America,18.78,20.28,15703,3246,1567,4.36,0.51,1.1,5.97,2.87,0.74,0.15,3.76,37.02,11.55,78.27,3675.54,7.7
2026,South America,10.69,30.02,7416,2958,607,4.38,1.38,1.74,7.5,2.38,0.38,0.12,2.88,61.6,22.11,84.02,3931.26,9.73
2027,Asia-Pacific,46.44,30.45,19990,1838,1644,2.61,2.07,1.32,6.0,2.59,0.49,0.26,3.34,44.33,6.26,94.71,4436.33,3.09
2025,South America,30.08,22.64,9683,3530,1975,1.17,0.72,1.31,3.2,2.64,0.66,0.36,3.66,-14.37,26.21,80.25,2439.7,4.69
2026,Europe,19.24,31.69,16435,3391,1103,4.48,1.99,0.53,7.0,0.55,0.44,0.26,1.25,82.14,25.27,77.07,4176.16,4.59
2025,Asia-Pacific,23.91,16.69,18729,4842,1515,3.23,2.3,1.44,6.97,2.45,0.39,0.33,3.17,54.52,10.9,91.8,457.08,9.61
2027,Middle East,33.46,19.35,16326,1661,1435,0.98,2.36,0.97,4.31,0.61,0.87,0.61,2.09,51.51,17.7,77.54,2252.1,2.29
2025,Europe,46.49,30.83,18755,2824,1786,2.55,2.88,1.54,6.97,0.96,0.79,0.32,2.07,70.3,13.25,70.97,4257.13,8.65
2028,Middle East,48.53,33.28,5201,4972,1655,3.81,2.96,0.34,7.11,2.6,0.73,0.79,4.12,42.05,16.03,79.85,1821.42,7.4
2027,Middle East,17.99,20.39,5663,2527,1939,4.35,0.28,0.76,5.39,2.99,0.39,0.26,3.64,32.47,7.63,91.52,1180.79,6.84
2025,Europe,37.73,18.95,14799,1949,1639,3.16,0.22,0.95,4.33,1.09,0.48,0.75,2.32,46.42,6.52,76.04,973.47,4.91
2025,Asia-Pacific,48.95,26.73,5993,4428,547,3.68,1.76,0.39,5.83,2.75,0.84,0.8,4.39,24.7,15.08,89.63,724.4,2.22
2024,Asia-Pacific,40.41,17.82,18230,4158,693,0.52,2.99,0.92,4.43,2.21,0.82,0.45,3.48,21.44,23.54,80.02,182.29,4.57
2024,South America,21.68,33.34,13917,2007,1325,1.75,2.58,1.19,5.52,2.85,0.28,0.63,3.76,31.88,6.62,76.64,3791.46,3.32
2027,North America,34.79,24.58,5087,3613,1188,3.6,2.39,1.6,7.59,1.07,0.93,0.71,2.71,64.3,17.54,90.28,3216.84,5.86
2027,Europe,43.45,28.46,12016,1078,1839,4.97,2.81,0.49,8.27,2.01,0.53,0.66,3.2,61.31,22.37,73.79,2849.51,6.72
2027,Europe,38.2,20.76,16921,4537,1023,3.87,2.48,0.23,6.58,2.96,0.98,0.64,4.58,30.4,24.3,77.16,1544.71,4.75
2027,Middle East,12.13,16.95,12757,1457,1195,4.38,1.58,1.54,7.5,2.9,0.56,0.19,3.65,51.33,17.35,86.29,1016.21,8.33
2028,South America,35.59,19.38,19032,1412,983,3.41,1.6,0.42,5.43,2.46,0.62,0.4,3.48,35.91,27.04,75.46,4515.8,3.0
2028,South America,15.69,30.74,12449,3790,929,1.31,0.7,0.74,2.75,2.83,0.67,0.74,4.24,-54.18,29.17,91.71,1860.54,5.8
2028,South America,45.68,15.47,19974,2728,593,4.95,0.64,0.55,6.14,2.64,0.97,0.67,4.28,30.29,29.07,73.8,1317.21,6.73
2024,North America,18.04,25.83,16387,2201,1452,3.63,2.08,0.48,6.19,2.93,0.93,0.22,4.08,34.09,20.36,93.94,3287.91,4.32
2025,Europe,25.45,33.8,6067,2422,1348,3.85,1.04,1.05,5.94,1.23,0.48,0.49,2.2,62.96,22.03,88.3,3507.81,5.98
2027,Asia-Pacific,41.51,32.2,16600,3930,1064,2.77,1.83,1.05,5.65,1.39,0.92,0.15,2.46,56.46,29.03,71.89,2670.82,8.33
2028,North America,20.65,26.71,14120,1058,984,1.51,2.61,0.48,4.6,0.58,0.56,0.69,1.83,60.22,25.96,80.15,1087.81,3.46
2027,North America,40.48,27.39,9405,3140,1553,2.37,2.25,1.29,5.91,2.56,0.52,0.72,3.8,35.7,5.85,90.71,811.92,9.52
2027,Europe,34.46,20.78,6539,1604,811,2.35,1.27,1.67,5.29,1.06,0.72,0.22,2.0,62.19,6.53,94.56,3800.55,3.65
2028,Europe,38.75,32.02,9338,1380,904,0.76,1.37,1.06,3.19,2.88,0.5,0.25,3.63,-13.79,25.82,91.52,2884.3,5.19
2027,North America,37.83,25.16,14846,3334,698,3.75,1.83,0.39,5.97,1.23,0.98,0.28,2.49,58.29,5.73,82.49,3180.69,6.09
2025,Europe,49.91,29.98,6352,1542,1999,2.87,2.96,0.8,6.63,2.81,0.44,0.29,3.54,46.61,29.69,70.13,1212.74,2.55
2026,Europe,25.3,19.41,15953,3037,1239,3.88,1.1,1.59,6.57,1.79,0.53,0.29,2.61,60.27,29.0,82.72,642.76,6.37
2025,Europe,22.96,18.77,11297,3114,1626,2.95,0.92,1.43,5.3,0.78,0.85,0.52,2.15,59.43,12.28,81.78,664.92,5.61
2028,Middle East,22.2,34.89,18151,4751,1529,0.79,0.34,1.03,2.16,2.35,0.94,0.59,3.88,-79.63,8.09,77.24,2031.4,5.39
2026,Asia-Pacific,23.96,15.66,17701,4108,1985,2.9,0.4,0.76,4.06,2.37,0.5,0.12,2.99,26.35,25.59,88.08,4445.83,7.46
2027,Middle East,34.5,22.47,13768,1425,1566,0.79,2.93,0.31,4.03,0.78,0.8,0.23,1.81,55.09,26.34,94.21,408.08,2.54
2025,Europe,32.43,18.46,19992,3004,1659,2.29,1.8,1.68,5.77,2.49,0.89,0.13,3.51,39.17,13.78,91.55,247.4,4.02
2024,Middle East,24.32,27.62,11428,3808,585,4.68,1.9,1.9,8.48,2.07,0.66,0.69,3.42,59.67,23.82,85.85,3900.71,4.18
2024,Asia-Pacific,22.39,29.64,16933,1314,1740,4.69,0.94,1.18,6.81,1.92,0.68,0.22,2.82,58.59,25.47,91.13,1967.86,9.26
2026,Middle East,48.84,18.69,16118,3713,1511,2.99,2.48,0.68,6.15,1.49,0.22,0.14,1.85,69.92,27.59,76.78,1476.28,7.7
2026,Middle East,37.1,25.69,12845,4435,1814,1.24,0.6,0.11,1.95,0.7,0.98,0.19,1.87,4.1,8.52,76.83,293.59,6.48
2024,Europe,14.75,22.81,9063,2666,507,1.91,2.18,1.39,5.48,1.46,0.59,0.77,2.82,48.54,6.61,85.26,916.7,8.65
2026,Europe,37.48,16.85,15206,3374,1995,2.04,2.38,0.82,5.24,0.77,0.51,0.31,1.59,69.66,26.34,81.33,2437.14,9.56
